RegionName,StateName,HealthRegionName,MunicipalityName,RegionID,StateID,HealthRegionID,MunicipalityID,RegionLat,RegionLon,StateLat,StateLon,HealthRegionLat,HealthRegionLon,MunicipalityLat,MunicipalityLon
Nordeste,Bahia,Ribeira do Pombal,,2,11,100,,-8.634569,-41.740481,-12.475150,-41.721852,-10.735064,-38.325423,,
Nordeste,Bahia,Salvador,,2,11,101,,-8.634569,-41.740481,-12.475150,-41.721852,-12.725111,-38.598517,,
Nordeste,Bahia,Santa Maria da Vitória,,2,11,102,,-8.634569,-41.740481,-12.475150,-41.721852,-13.735510,-44.781995,,
Nordeste,Bahia,Santo Antônio de Jesus,,2,11,103,,-8.634569,-41.740481,-12.475150,-41.721852,-13.007098,-39.396516,,
Nordeste,Bahia,Seabra,,2,11,104,,-8.634569,-41.740481,-12.475150,-41.721852,-12.666423,-41.772990,,
Nordeste,Bahia,Senhor do Bonfim,,2,11,105,,-8.634569,-41.740481,-12.475150,-41.721852,-10.349383,-40.356226,,
Nordeste,Bahia,Serrinha,,2,11,106,,-8.634569,-41.740481,-12.475150,-41.721852,-10.993387,-39.221368,,
Nordeste,Bahia,Teixeira de Freitas,,2,11,107,,-8.634569,-41.740481,-12.475150,-41.721852,-17.408574,-39.842738,,
Nordeste,Bahia,Valença,,2,11,108,,-8.634569,-41.740481,-12.475150,-41.721852,-13.666673,-39.266295,,
Nordeste,Bahia,Vitória da Conquista,,2,11,109,,-8.634569,-41.740481,-12.475150,-41.721852,-14.912611,-41.106075,,
Nordeste,Ceará,10ª Região Limoeiro do Norte,,2,12,110,,-8.634569,-41.740481,-5.093181,-39.615844,-5.619190,-38.317515,,
Nordeste,Ceará,11ª Região Sobral,,2,12,111,,-8.634569,-41.740481,-5.093181,-39.615844,-3.982663,-40.286595,,
Nordeste,Ceará,12ª Região Acaraú,,2,12,112,,-8.634569,-41.740481,-5.093181,-39.615844,-3.055885,-40.166204,,
Nordeste,Ceará,13ª Região Tianguá,,2,12,113,,-8.634569,-41.740481,-5.093181,-39.615844,-3.915092,-41.030565,,
Nordeste,Ceará,14ª Região Tauá,,2,12,114,,-8.634569,-41.740481,-5.093181,-39.615844,-6.222050,-40.344300,,
Nordeste,Ceará,15ª Região Crateús,,2,12,115,,-8.634569,-41.740481,-5.093181,-39.615844,-5.132740,-40.600269,,
Nordeste,Ceará,16ª Região Camocim,,2,12,116,,-8.634569,-41.740481,-5.093181,-39.615844,-3.131587,-40.957102,,
