RegionName,StateName,HealthRegionName,HealthRegionLat,HealthRegionLon,match_0,match_1,match_2,match_3
Nordeste,Pernambuco,Garanhuns,-8.991774,-36.715263,,,,
Nordeste,Pernambuco,Goiana,-7.560353,-35.166038,,,,
Nordeste,Pernambuco,Limoeiro,-7.853524,-35.482968,,,,
Nordeste,Pernambuco,Ouricuri,-7.874951,-40.086323,,,,
Nordeste,Pernambuco,Palmares,-8.641065,-35.499558,,,,
Nordeste,Pernambuco,Petrolina,-8.721404,-40.264903,,,,
Nordeste,Pernambuco,Recife,-8.089716,-35.096756,,,,
Nordeste,Pernambuco,Salgueiro,-8.174606,-39.093263,,,,
Nordeste,Pernambuco,Serra Talhada,-8.239390,-38.349177,,,,
Nordeste,Piauí,Carnaubais,-5.299197,-41.603502,,,,
Nordeste,Piauí,Chapada das Mangabeiras,-9.518851,-44.733711,,,,
Nordeste,Piauí,Cocais,-4.086354,-41.881765,,,,
Nordeste,Piauí,Entre Rios,-5.398244,-42.601266,,,,
Nordeste,Piauí,Planície Litorânea,-3.276753,-41.657366,,,,
Nordeste,Piauí,Serra da Capivara,-8.893306,-42.585042,,,,
Nordeste,Piauí,Tabuleiros do Alto Parnaíba,-8.033079,-44.818152,,,,
Nordeste,Piauí,Vale do Canindé,-7.428440,-41.978154,,,,
Nordeste,Piauí,Vale do Rio Guaribas,-7.471215,-41.131981,,,,
Nordeste,Piauí,Vale do Sambito,-6.287195,-41.669143,,,,
Nordeste,Piauí,Vale dos Rios Piauí e Itaueiras,-7.645577,-43.132271,,,,
Nordeste,Rio Grande do Norte,1ª Região de Saúde - São José de Mipibu,-6.280360,-35.336357,,,,
Nordeste,Rio Grande do Norte,2ª Região de Saúde - Mossoró,-5.451762,-37.459856,,,,
Nordeste,Rio Grande do Norte,3ª Região de Saúde - João Câmara,-5.439960,-35.965576,,,,
Nordeste,Rio Grande do Norte,4ª Região de Saúde - Caicó,-6.320053,-36.818923,,,,
Nordeste,Rio Grande do Norte,5ª Região de Saúde - Santa Cruz,-6.119558,-35.920612,,,,
Nordeste,Rio Grande do Norte,6ª Região de Saúde - Pau dos Ferros,-6.153172,-38.058283,,,,
Nordeste,Rio Grande do Norte,7ª Região de Saúde - Metropolitana,-5.849728,-35.347712,,,,
Nordeste,Rio Grande do Norte,8ª Região de Saúde - Açu,-5.549588,-36.831909,,,,
Nordeste,Sergipe,Aracaju,-10.949003,-37.229319,,,,
Nordeste,Sergipe,Estância,-11.317144,-37.609581,,,,
Nordeste,Sergipe,Itabaiana,-10.537080,-37.538550,,,,
Nordeste,Sergipe,Lagarto,-10.935836,-37.842041,,,,
Nordeste,Sergipe,Nossa Senhora da Glória,-9.958318,-37.552339,,,,
Nordeste,Sergipe,Nossa Senhora do Socorro,-10.576961,-37.054109,,,,
Nordeste,Sergipe,Propriá,-10.350512,-36.809717,,,,
Norte,Acre,Alto Acre,-10.714060,-69.159758,,,,
Norte,Acre,Baixo Acre e Purus,-9.705521,-69.267256,,,,
Norte,Acre,Juruá e Tarauacá/Envira,-8.492508,-71.764748,,,,
Norte,Amapá,Área Central,1.025697,-51.693058,,,,
Norte,Amapá,Área Norte,2.400392,-51.425358,,,,
Norte,Amapá,Área Sudoeste,0.638279,-52.808015,,,,
Norte,Amazonas,Alto Solimões,-4.759340,-69.698512,,,,
Norte,Amazonas,Baixo Amazonas,-3.878620,-57.783182,,,,
Norte,Amazonas,"Manaus, Entorno e Alto Rio Negro",-0.603640,-64.471279,,,,
Norte,Amazonas,Médio Amazonas,-1.769569,-58.807116,,,,
Norte,Amazonas,Regional Juruá,-6.486278,-69.208023,,,,
Norte,Amazonas,Regional Purus,-7.391543,-65.880509,,,,
Norte,Amazonas,Rio Madeira,-6.682651,-60.545406,,,,
Norte,Amazonas,Rio Negro e Solimões,-3.587392,-62.750753,,,,
Norte,Amazonas,Triângulo,-2.761726,-66.743719,,,,
Norte,Pará,Araguaia,-7.636398,-51.401753,,,,
Norte,Pará,Baixo Amazonas,-0.522579,-55.568085,,,,
Norte,Pará,Carajás,-5.483520,-49.356774,,,,
Norte,Pará,Lago de Tucuruí,-4.084815,-49.630762,,,,
Norte,Pará,Marajó I,-0.509494,-49.696752,,,,
Norte,Pará,Marajó II,-1.816744,-50.790512,,,,
Norte,Pará,Metropolitana I,-1.262476,-48.392768,,,,
Norte,Pará,Metropolitana II,-2.049688,-48.262060,,,,
Norte,Pará,Metropolitana III,-2.640158,-47.565762,,,,
Norte,Pará,Rio Caetés,-1.399336,-46.751789,,,,
Norte,Pará,Tapajós,-6.451871,-56.423780,,,,
Norte,Pará,Tocantins,-2.430983,-49.334614,,,,
Norte,Pará,Xingu,-5.420134,-53.300739,,,,
Norte,Rondônia,Café,-11.573944,-61.005771,,,,
Norte,Rondônia,Central,-10.805681,-62.458529,,,,
Norte,Rondônia,Cone Sul,-12.660238,-60.805077,,,,
Norte,Rondônia,Madeira-Mamoré,-9.958401,-64.271470,,,,
Norte,Rondônia,Vale do Guaporé,-12.205375,-63.379710,,,,
Norte,Rondônia,Vale do Jamari,-9.722795,-62.903760,,,,
Norte,Rondônia,Zona da Mata,-12.236149,-61.986255,,,,
Norte,Roraima,Centro Norte,3.354448,-61.645615,,,,
Norte,Roraima,Sul,0.832080,-61.142406,,,,
Norte,Tocantins,Amor Perfeito,-10.893400,-47.553386,,,,
Norte,Tocantins,Bico do Papagaio,-5.947030,-47.914725,,,,
Norte,Tocantins,Cantão,-10.148288,-49.656609,,,,
Norte,Tocantins,Capim Dourado,-9.762922,-47.649366,,,,
Norte,Tocantins,Cerrado Tocantins Araguaia,-8.520850,-48.267026,,,,
Norte,Tocantins,Ilha do Bananal,-12.067163,-49.317264,,,,
Norte,Tocantins,Médio Norte Araguaia,-7.454097,-48.009109,,,,
Norte,Tocantins,Sudeste,-12.304162,-47.195068,,,,
Sudeste,Espírito Santo,Central,-19.363620,-40.413226,,,,
Sudeste,Espírito Santo,Metropolitana,-20.158641,-40.782082,,,,
Sudeste,Espírito Santo,Norte,-18.482867,-40.374255,,,,
Sudeste,Espírito Santo,Sul,-20.757169,-41.278528,,,,
Sudeste,Minas Gerais,Alfenas Machado,-21.393389,-46.027863,,,,
Sudeste,Minas Gerais,Almenara,-16.318374,-40.683443,,,,
Sudeste,Minas Gerais,Além Paraíba,-21.767567,-42.637982,,,,
Sudeste,Minas Gerais,Araxá,-19.560659,-46.879725,,,,
Sudeste,Minas Gerais,Araçuaí,-16.851875,-42.174728,,,,
Sudeste,Minas Gerais,Barbacena,-21.229412,-43.726916,,,,
Sudeste,Minas Gerais,Belo Horizonte Nova Lima Caeté,-19.822110,-43.800787,,,,
Sudeste,Minas Gerais,Betim,-20.053425,-44.274918,,,,
Sudeste,Minas Gerais,Bom Despacho,-19.603696,-45.490578,,,,
Sudeste,Minas Gerais,Brasília de Minas São Francisco,-16.081835,-44.779946,,,,
Sudeste,Minas Gerais,Carangola,-20.665675,-42.124792,,,,
Sudeste,Minas Gerais,Caratinga,-19.670383,-42.110656,,,,
Sudeste,Minas Gerais,Conselheiro Lafaiete Congonhas,-20.684055,-43.746992,,,,
Sudeste,Minas Gerais,Contagem,-19.949388,-44.087564,,,,
Sudeste,Minas Gerais,Coração de Jesus,-16.834097,-44.433654,,,,
Sudeste,Minas Gerais,Coronel Fabriciano Timóteo,-19.655565,-42.700765,,,,
Sudeste,Minas Gerais,Curvelo,-18.445792,-44.528977,,,,
Sudeste,Minas Gerais,Diamantina,-18.075969,-43.333168,,,,
Sudeste,Minas Gerais,Divinópolis Santo Antônio do Monte,-20.199470,-45.123019,,,,
Sudeste,Minas Gerais,Formiga,-20.201634,-45.884186,,,,
Sudeste,Minas Gerais,Francisco Sá,-16.510449,-43.147247,,,,
Sudeste,Minas Gerais,Frutal Iturama,-19.759492,-49.832495,,,,
Sudeste,Minas Gerais,Governador Valadares,-18.828274,-41.954066,,,,
Sudeste,Minas Gerais,Guanhães,-18.753128,-43.126937,,,,
Sudeste,Minas Gerais,Guaxupé,-21.283947,-46.542094,,,,
Sudeste,Minas Gerais,Ipatinga,-19.210901,-42.457254,,,,
Sudeste,Minas Gerais,Itabira,-19.562415,-43.258060,,,,
Sudeste,Minas Gerais,Itajubá,-22.491146,-45.549000,,,,
Sudeste,Minas Gerais,Itaobim,-16.546894,-41.607088,,,,
Sudeste,Minas Gerais,Itaúna,-20.269853,-44.514663,,,,
Sudeste,Minas Gerais,Ituiutaba,-19.084924,-49.810395,,,,
Sudeste,Minas Gerais,Janaúba Monte Azul,-15.365329,-43.302772,,,,
Sudeste,Minas Gerais,Januária,-15.217428,-44.721665,,,,
Sudeste,Minas Gerais,João Monlevade,-19.868268,-43.009870,,,,
Sudeste,Minas Gerais,João Pinheiro,-17.506745,-45.977156,,,,
Sudeste,Minas Gerais,Juiz de Fora Lima Duarte Bom Jardim Minas,-21.859013,-43.793769,,,,
Sudeste,Minas Gerais,Lavras,-21.345962,-44.917462,,,,
Sudeste,Minas Gerais,Leopoldina Cataguases,-21.449358,-42.612364,,,,
Sudeste,Minas Gerais,Manga,-14.593817,-44.247109,,,,
Sudeste,Minas Gerais,Manhuaçu,-20.052607,-41.842040,,,,
Sudeste,Minas Gerais,Mantena,-18.658814,-41.255143,,,,
Sudeste,Minas Gerais,Minas Novas Turmalina Capelinha,-17.354718,-42.577872,,,,
Sudeste,Minas Gerais,Montes Claros Bocaiúva,-17.124674,-43.803957,,,,
Sudeste,Minas Gerais,Muriaé,-21.042865,-42.387470,,,,
Sudeste,Minas Gerais,Nanuque,-17.711221,-40.710693,,,,
Sudeste,Minas Gerais,Ouro Preto,-20.340978,-43.535299,,,,
Sudeste,Minas Gerais,Padre Paraíso,-17.219491,-41.577336,,,,
Sudeste,Minas Gerais,Pará de Minas,-19.746180,-44.804642,,,,
Sudeste,Minas Gerais,Passos Piumhi,-20.511619,-46.514715,,,,
Sudeste,Minas Gerais,Patos de Minas,-18.501887,-46.343544,,,,
Sudeste,Minas Gerais,Patrocínio Monte Carmelo,-18.664932,-47.280608,,,,
Sudeste,Minas Gerais,Pedra Azul,-15.856468,-41.365615,,,,
Sudeste,Minas Gerais,Pirapora,-17.282104,-45.065586,,,,
Sudeste,Minas Gerais,Ponte Nova,-20.245774,-42.784547,,,,
Sudeste,Minas Gerais,Pouso Alegre,-22.339521,-46.077650,,,,
Sudeste,Minas Gerais,Poços de Caldas,-21.943294,-46.431286,,,,
Sudeste,Minas Gerais,Resplendor,-19.332229,-41.295573,,,,
Sudeste,Minas Gerais,Salinas Taiobeiras,-15.723253,-42.215896,,,,
Sudeste,Minas Gerais,Santa Maria do Suaçuí São João Evangelista,-18.276158,-42.497338,,,,
Sudeste,Minas Gerais,Santo Antônio do Amparo Campo Belo,-20.770614,-45.035481,,,,
Sudeste,Minas Gerais,Santos Dumont,-21.428565,-43.509009,,,,
Sudeste,Minas Gerais,Sete Lagoas,-19.086809,-44.820101,,,,
Sudeste,Minas Gerais,São João del Rei,-21.154774,-44.370764,,,,
Sudeste,Minas Gerais,São João Nepomuceno Bicas,-21.691804,-43.012198,,,,
Sudeste,Minas Gerais,São Lourenço,-22.050975,-44.892020,,,,
Sudeste,Minas Gerais,São Sebastião do Paraíso,-20.989190,-46.954233,,,,
Sudeste,Minas Gerais,Teófilo Otoni Malacacheta Itambacuri,-17.849846,-41.622632,,,,
Sudeste,Minas Gerais,Três Corações,-21.680683,-45.195734,,,,
Sudeste,Minas Gerais,Três Pontas,-21.160541,-45.580152,,,,
Sudeste,Minas Gerais,Uberaba,-19.751685,-47.926622,,,,
Sudeste,Minas Gerais,Uberlândia Araguari,-18.960092,-48.540556,,,,
Sudeste,Minas Gerais,Ubá,-21.069554,-43.006784,,,,
Sudeste,Minas Gerais,Unaí,-16.152267,-46.448127,,,,
Sudeste,Minas Gerais,Varginha,-21.717163,-45.548115,,,,
Sudeste,Minas Gerais,Vespasiano,-19.436442,-43.849151,,,,
Sudeste,Minas Gerais,Viçosa,-20.704041,-42.806966,,,,
Sudeste,Minas Gerais,Águas Formosas,-17.148271,-40.860349,,,,
Sudeste,Rio de Janeiro,Baia da Ilha Grande,-23.051867,-44.452112,,,,
Sudeste,Rio de Janeiro,Baixada Litorânea,-22.708496,-42.192758,,,,
Sudeste,Rio de Janeiro,Centro-Sul,-22.273969,-43.317670,,,,
Sudeste,Rio de Janeiro,Metropolitana I,-22.775050,-43.452379,,,,
Sudeste,Rio de Janeiro,Metropolitana II,-22.723309,-42.668266,,,,
Sudeste,Rio de Janeiro,Médio Paraíba,-22.440856,-44.071038,,,,
Sudeste,Rio de Janeiro,Noroeste,-21.331418,-41.906211,,,,
Sudeste,Rio de Janeiro,Norte,-21.829167,-41.502003,,,,
Sudeste,Rio de Janeiro,Serrana,-22.196687,-42.540651,,,,
Sudeste,São Paulo,Adamantina,-21.627456,-51.073050,,,,
Sudeste,São Paulo,Alta Anhanguera,-20.648009,-48.016212,,,,
Sudeste,São Paulo,Alta Mogiana,-20.238489,-47.859466,,,,
Sudeste,São Paulo,Alta Paulista,-21.428064,-51.604363,,,,
Sudeste,São Paulo,Alta Sorocabana,-22.214411,-51.454574,,,,
Sudeste,São Paulo,Alto Capivari,-22.354994,-50.904854,,,,
Sudeste,São Paulo,Alto do Tietê,-23.502173,-46.162219,,,,
Sudeste,São Paulo,Alto Vale do Paraíba,-23.222422,-45.845646,,,,
Sudeste,São Paulo,Aquífero Guarani,-21.400455,-47.687839,,,,
Sudeste,São Paulo,Araras,-22.178229,-47.344745,,,,
Sudeste,São Paulo,Assis,-22.628707,-50.507125,,,,
Sudeste,São Paulo,Baixa Mogiana,-22.343952,-46.945528,,,,
Sudeste,São Paulo,Baixada Santista,-23.988766,-46.521855,,,,
Sudeste,São Paulo,Bauru,-22.299873,-49.131201,,,,
Sudeste,São Paulo,Bragança,-22.945051,-46.457734,,,,
Sudeste,São Paulo,Catanduva,-21.245599,-49.076420,,,,
Sudeste,São Paulo,Central do DRS II,-21.062395,-50.655806,,,,
Sudeste,São Paulo,Central do DRS III,-21.778016,-48.246293,,,,
